"attivita","citta","referente","email","telefono","sito","scenario","dettaglio","fonte","stato","data_invio","note"
"Ferrando Gioielleria","Alessandria","","ferrando@gioielleriaferrando.com","+39 366 1818981","www.gioielleriaferrando.com","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","pronto","","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita"
"X Bacco","Acqui Terme","","ezio.girasole@gmail.com","+39 0144 56199","osteriaxbacco.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","inviato","2026-09-17",""
"Vaniglia","Alessandria","","info@vanigliagelaterie.it","+39 0131 253501","www.vanigliagelaterie.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","inviato","2026-09-20",""
"Soleluna","Tortona","","info@solelunatortona.it","+39 0131 1859351","www.solelunatortona.it","sito_vecchio","In fondo alle pagine c'è ancora scritto «© 2017»: chi vi trova oggi si chiede se siete ancora aperti","PagineGialle + audit tecnico 17/09","pronto","",""
"Spaltra L’Altra","Alessandria","","info@spaltra.it","+39 0131 325171","www.spaltra.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi, il cliente deve uscire dal sito e ricopiarlo a mano","PagineGialle + audit tecnico 17/09","inviato","2026-09-17",""
"Astrua 1860","Alessandria","","astrua@astrua.com","+39 0131 260626","www.astrua.com/it","sito_lento_mobile","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita","PagineGialle + audit tecnico 17/09","inviato","2026-09-17",""
"Luigi Regalzi","Alessandria","","regalzi1860@hotmail.it","+39 0131 252662","www.regalzi1860.com","sito_vecchio","In fondo alle pagine c'è ancora scritto «© 2014»: chi vi trova oggi si chiede se siete ancora aperti","PagineGialle + audit tecnico 17/09","pronto","",""
"Ristorante Anna Ghisolfi","Tortona","","info@annaghisolfi.it","+39 338 4797142","www.annaghisolfi.it","sito_lento_mobile","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita","PagineGialle + audit tecnico 17/09","inviato","2026-09-20",""
"Ferramenta Scarazzini","Alessandria","","info@ferramentascarazzini.it","+39 0131 251230","www.ferramentascarazzini.it","sito_lento_mobile","Il sito dichiara di adattarsi al telefono ma non ha nessuna regola per farlo: sul cellulare resta la stessa pagina del computer, rimpicciolita","PagineGialle + audit tecnico 17/09","inviato","2026-09-17",""
"Filippo Il Gelatiere","Casale Monferrato","","filippoilgelatiere@hotmail.it","+39 0142 77393","","senza_sito","Cercandovi si trovano solo una pagina Facebook e schede di directory: PagineBianche, Virgilio, MonferratoDelivery. Un vostro sito non esiste, e quello che si legge di voi online l'ha scritto qualcun altro.","PagineGialle + audit tecnico 17/09","pronto","",""
"Locanda Rossignoli 1913","Casale Monferrato","","locandarossignoli1913@gmail.com","+39 0142 455253","www.locandarossignoli1913.com","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per prenotare un tavolo, il cliente deve uscire dal sito e ricopiare il numero a mano.","TuttoCittà + ricerca + audit 20/09","pronto","","Bottega storica di Casale, dal 1913. Sito curato ma zero link tel:."
"Pasticceria Vercesi","Tortona","","pasticceriavercesi@libero.it","+39 0131 861822","pasticceriavercesitortona.it","sito_vecchio","In fondo alle pagine c'è ancora scritto «© 2019»: chi vi trova oggi si chiede se siete ancora aperti.","TuttoCittà + ricerca + audit 20/09","pronto","","Oltre 150 anni di attività, inventori dei Baci Dorati. Il sito non racconta niente di tutto questo."
"Albergo D'Acqui","Acqui Terme","","info@hotelacqui.it","","www.hotelacqui.it","sito_lento_mobile","Sul sito nessun numero è cliccabile: da telefono, per chiamarvi e chiedere una camera, il cliente deve uscire dal sito e ricopiarlo a mano.","PagineGialle + audit 20/09","pronto","","Email pubblicata da PagineGialle, dominio coerente col sito."
"Ristorante Albergo Corona","Novi Ligure","","info@ristorantealbergocorona.it","","www.ristorantealbergocorona.it","sito_lento_mobile","La home impiega più di cinque secondi ad aprirsi da rete mobile: chi vi cerca mentre è in giro, spesso, non aspetta.","PagineGialle + audit 20/09","pronto","","Email verificata sul loro sito. Misurato 5,3 e 6,6 secondi in due prove."
